id,input
r01,"Thank you so much — I completely understand how frustrating this has been, and I'll make it right."
r02,"I understand your frustration, and I'm here to help you through this."
r03,Your refund has been processed. Let me know if there's anything else.
r04,Here is the tracking number for your order: 1Z999.
r05,That's not something we do. That's our policy.
r06,No.
r07,We received your request.
r08,"Sorry about that — anyway, it's fixed now."
r09,Please find the form attached.
r10,I truly appreciate your patience while we sorted this out.
